"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific"
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus schoenobaenus_A181_P1","IUCN",-0.146173723725605,1.25838944351683
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus schoenobaenus_A181_P1","BOTW",-0.146173723725605,1.25838944351683
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus schoenobaenus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus scirpaceus_A181_P1","IUCN",-0.184268369465925,1.42101484591555
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus scirpaceus_A181_P1","BOTW",-0.184268369465925,1.42101484591555
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Acrocephalus scirpaceus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Aegithalos caudatus_A181_P1","IUCN",-0.141562364388677,1.27211067810302
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Aegithalos caudatus_A181_P1","BOTW",-0.141562364388677,1.27211067810302
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Aegithalos caudatus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Ardea cinerea_A181_P1","IUCN",-0.144500781949861,1.25148965087976
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Ardea cinerea_A181_P1","BOTW",-0.144500781949861,1.25148965087976
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Ardea cinerea_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Linaria cannabina_A181_P1","BOTW",-0.143673547535958,1.26685850343198
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Linaria cannabina_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Carduelis carduelis_A181_P1","IUCN",-0.137440000595442,1.27813621821672
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Carduelis carduelis_A181_P1","BOTW",-0.137440000595442,1.27813621821672
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Carduelis carduelis_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Certhia familiaris_A181_P1","BOTW",-0.140773868087562,1.2624212805575
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Certhia familiaris_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Chloris chloris_A181_P1","BOTW",-0.143455059657194,1.25249777175044
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Chloris chloris_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Columba oenas_A181_P1","BOTW",-0.161464833567015,1.36086628765706
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Columba oenas_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Columba palumbus_A181_P1","BOTW",-0.144957894002723,1.2514938774126
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Columba palumbus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Corvus frugilegus_A181_P1","BOTW",-0.143983330385197,1.26791967611926
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Corvus frugilegus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Cyanistes caeruleus_A181_P1","BOTW",-0.144883288048314,1.25713638461946
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Cyanistes caeruleus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Cygnus olor_A181_P1","IUCN",-0.130871259677984,1.29497710971934
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Cygnus olor_A181_P1","BOTW",-0.130871259677984,1.29497710971934
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Cygnus olor_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Delichon urbicum_A181_P1","IUCN",-0.137769959811005,1.26251624228703
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Delichon urbicum_A181_P1","BOTW",-0.137769959811005,1.26251624228703
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Delichon urbicum_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Dendrocopos major_A181_P1","BOTW",-0.143552040596198,1.27611968869313
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Dendrocopos major_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza calandra_A181_P1","BOTW",-0.370142916767386,1.56927813337359
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza calandra_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza citrinella_A181_P1","BOTW",-0.139852921650384,1.26487273798159
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza citrinella_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza schoeniclus_A181_P1","IUCN",-0.141568779861257,1.25095279805438
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza schoeniclus_A181_P1","BOTW",-0.141568779861257,1.25095279805438
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Emberiza schoeniclus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Erithacus rubecula_A181_P1","BOTW",-0.14350875113728,1.24676721224618
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Erithacus rubecula_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Fringilla coelebs_A181_P1","BOTW",-0.14350875113728,1.24676721224618
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Fringilla coelebs_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Fulica atra_A181_P1","IUCN",-0.154862822679685,1.31964624493
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Fulica atra_A181_P1","BOTW",-0.154862822679685,1.31964624493
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Fulica atra_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Gallinula chloropus_A181_P1","IUCN",-0.144689164587066,1.28192397554769
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Gallinula chloropus_A181_P1","BOTW",-0.144689164587066,1.28192397554769
"A181_P1","map_25km_gVelLat",-0.14635769075354,1.24310090728088,"Gallinula chloropus_A181_P1","GBIF occurrence",-0.147388542483186,1.24659048968913
