"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific"
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus quadricolor_A136_P6","GBIF occurrence",0.137382581947598,0.646643236447281
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus muscorum_A136_P6","GBIF occurrence",0.108842431453114,0.740152705778604
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus lucorum_A136_P6","GBIF occurrence",0.0652701758402303,0.707724229338366
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus sporadicus_A136_P6","GBIF occurrence",0.232969820569185,0.834679782377253
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus pascuorum_A136_P6","GBIF occurrence",0.0307868823712419,0.67877654856207
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus terrestris_A136_P6","GBIF occurrence",0.0650469491372493,0.676548374193461
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus soroeensis_A136_P6","GBIF occurrence",0.0982205987491591,0.704665692179012
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus distinguendus_A136_P6","GBIF occurrence",0.138978628568768,0.750230851732773
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus sylvarum_A136_P6","GBIF occurrence",0.0853990030725235,0.715153183512697
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus magnus_A136_P6","GBIF occurrence",0.0289412050556709,0.547150062224686
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus veteranus_A136_P6","GBIF occurrence",0.178479802244294,0.796760278693931
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus cryptarum_A136_P6","GBIF occurrence",0.142908871814936,0.74821381341728
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus subterraneus_A136_P6","GBIF occurrence",0.0688342731222965,0.639795978220091
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus mendax_A136_P6","GBIF occurrence",-0.0313931926677796,0.177874191668795
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus campestris_A136_P6","GBIF occurrence",0.0798621390210038,0.706640205282115
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus ruderarius_A136_P6","GBIF occurrence",0.0715006475876964,0.664593312899321
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus norvegicus_A136_P6","GBIF occurrence",0.167684692105552,0.759606290043207
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus sylvestris_A136_P6","GBIF occurrence",0.105966638032818,0.701889028398667
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus humilis_A136_P6","GBIF occurrence",0.0140483665988384,0.62432161449379
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus rupestris_A136_P6","GBIF occurrence",0.0525974715234695,0.686450147047073
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus vestalis_A136_P6","GBIF occurrence",-0.0497759197974022,0.531044927689173
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus pomorum_A136_P6","GBIF occurrence",-0.0441263212760674,0.534522857689132
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus jonellus_A136_P6","GBIF occurrence",0.0915129805326697,0.741258603704283
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus wurflenii_A136_P6","GBIF occurrence",0.161442365964788,0.686197845907232
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus hortorum_A136_P6","GBIF occurrence",0.0372359030451055,0.729983012062902
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus barbutellus_A136_P6","GBIF occurrence",0.0270571367842466,0.523554065689834
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus lapidarius_A136_P6","GBIF occurrence",0.0551921736377716,0.69758708331856
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus mucidus_A136_P6","GBIF occurrence",0.00779762315869756,0.246107012542293
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus monticola_A136_P6","GBIF occurrence",0.159916593566852,0.71538747689502
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus sichelii_A136_P6","GBIF occurrence",0.0335712526952149,0.240059232709895
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus pratorum_A136_P6","GBIF occurrence",0.0506407777147956,0.72005096311275
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus hypnorum_A136_P6","GBIF occurrence",0.0490515539204836,0.725759281389229
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus bohemicus_A136_P6","GBIF occurrence",0.105130443546173,0.707892576296191
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus mesomelas_A136_P6","GBIF occurrence",0.0328298593561991,0.235534676430312
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus pyrenaeus_A136_P6","GBIF occurrence",-0.0313931926677796,0.177874191668795
"A136_P6","map_25km_gVelLat",0.0273370990756288,0.666419758121248,"Bombus ruderatus_A136_P6","GBIF occurrence",-0.0436093092028518,0.501368591202451
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus quadricolor_A136_P6","GBIF occurrence",0.669657127618159,0.66866014719786
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus muscorum_A136_P6","GBIF occurrence",0.643916330812161,0.670271525171133
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus lucorum_A136_P6","GBIF occurrence",0.582172025621386,0.803041868240251
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus sporadicus_A136_P6","GBIF occurrence",0.997653195556506,0.706919985438381
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus pascuorum_A136_P6","GBIF occurrence",0.376945940269784,0.852504648514853
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus terrestris_A136_P6","GBIF occurrence",0.380726310219303,0.853677937068284
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus soroeensis_A136_P6","GBIF occurrence",0.657755041119077,0.798979035381662
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus distinguendus_A136_P6","GBIF occurrence",0.744551173874946,0.647605710261217
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus sylvarum_A136_P6","GBIF occurrence",0.511425474755818,0.748889681631752
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus magnus_A136_P6","GBIF occurrence",0.605344285954537,0.777513314040313
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus veteranus_A136_P6","GBIF occurrence",0.63974354967378,0.664688267258827
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus cryptarum_A136_P6","GBIF occurrence",0.839226219583063,0.714221126533667
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus subterraneus_A136_P6","GBIF occurrence",0.560680529179929,0.632538109668015
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus mendax_A136_P6","GBIF occurrence",0.986571684462313,1.47591015116371
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus campestris_A136_P6","GBIF occurrence",0.592017234235931,0.684797884335812
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus ruderarius_A136_P6","GBIF occurrence",0.542038843681512,0.653658397700958
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus norvegicus_A136_P6","GBIF occurrence",0.728921271045536,0.707972496498325
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus sylvestris_A136_P6","GBIF occurrence",0.643482320379934,0.81387301232163
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus humilis_A136_P6","GBIF occurrence",0.394788556181106,0.701493418453155
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus rupestris_A136_P6","GBIF occurrence",0.423779153405811,0.685812079555904
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus vestalis_A136_P6","GBIF occurrence",0.340450620087059,0.725152378272081
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus pomorum_A136_P6","GBIF occurrence",0.407089751242565,0.718458865725562
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus jonellus_A136_P6","GBIF occurrence",0.725449839637112,0.778415961363752
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus wurflenii_A136_P6","GBIF occurrence",0.974016478175934,0.890637878865957
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus hortorum_A136_P6","GBIF occurrence",0.572717478676568,0.801020272391651
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus barbutellus_A136_P6","GBIF occurrence",0.44244117380654,0.785105562363794
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus lapidarius_A136_P6","GBIF occurrence",0.526411770228734,0.812186648446751
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus mucidus_A136_P6","GBIF occurrence",0.569260484870623,0.996809500677958
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus monticola_A136_P6","GBIF occurrence",1.0365668459594,0.80963213933723
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus sichelii_A136_P6","GBIF occurrence",0.59225658891677,0.996561345826154
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus pratorum_A136_P6","GBIF occurrence",0.552594806909498,0.826745440648025
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus hypnorum_A136_P6","GBIF occurrence",0.561452980052991,0.81844851500736
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus bohemicus_A136_P6","GBIF occurrence",0.693973056350626,0.767074695621505
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus mesomelas_A136_P6","GBIF occurrence",0.496998929516714,0.919422543700872
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus pyrenaeus_A136_P6","GBIF occurrence",0.986571684462313,1.47591015116371
"A136_P6","map_gVelEle",0.320832641114968,0.877218094331964,"Bombus ruderatus_A136_P6","GBIF occurrence",0.195072451832758,0.709453515708229
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus quadricolor_A136_P6","GBIF occurrence",-0.000466725592589475,0.0359574456284924
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus muscorum_A136_P6","GBIF occurrence",-0.000920484230703256,0.0392681635400544
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus lucorum_A136_P6","GBIF occurrence",-0.00115702052248816,0.0378682016314861
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus sporadicus_A136_P6","GBIF occurrence",-0.000544210539056262,0.0405740279052713
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus pascuorum_A136_P6","GBIF occurrence",-0.0010543612036078,0.0354905059916526
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus terrestris_A136_P6","GBIF occurrence",-0.00102998859100336,0.0367194900213773
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus soroeensis_A136_P6","GBIF occurrence",-0.00103695386241921,0.0386188449268421
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus distinguendus_A136_P6","GBIF occurrence",-0.00124877762698983,0.0408364588315272
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus sylvarum_A136_P6","GBIF occurrence",-0.00121179628203787,0.0390412118147336
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus magnus_A136_P6","GBIF occurrence",-0.000745348539023106,0.0358983918537284
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus veteranus_A136_P6","GBIF occurrence",-0.00107091155897613,0.0432109829579102
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus cryptarum_A136_P6","GBIF occurrence",-0.00133717149915881,0.040910611987545
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus subterraneus_A136_P6","GBIF occurrence",-0.000939980447436142,0.0403323562458779
"A136_P6","map_gVelLat",-0.000781090024623771,0.0354988235061048,"Bombus mendax_A136_P6","GBIF occurrence",-0.000473376788615365,0.0121257635328774
