"study_id","cv_type","mean_cv_studylevel","sd_cv_studylevel","species_studyid","range_source","mean_cv_sppspecific","sd_cv_sppspecific"
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Argynnis hyperbius_A39_P1","Butterfly Maps",0.0177803646174402,1.05413215583094
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Argynnis hyperbius_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Choaspes benjaminii_A39_P1","Butterfly Maps",0.389299704702044,0.690255372052038
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Choaspes benjaminii_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Dichorragia nesimachus_A39_P1","Butterfly Maps",0.522282046707053,0.560623636253337
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Dichorragia nesimachus_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Eurema laeta_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Eurema mandarina_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Graphium sarpedon_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Hestina assimilis_A39_P1","Butterfly Maps",-0.0785375490644318,1.03071983677831
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Hestina assimilis_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Hestina persimilis_A39_P1","Butterfly Maps",-0.0581700124413414,1.01314564904623
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Hestina persimilis_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Lampides boeticus_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Libythea lepita_A39_P1","Butterfly Maps",-0.0316073150491196,1.03220616759623
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Libythea lepita_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Mycalesis francisca_A39_P1","Butterfly Maps",0.548410108259746,0.508362314003323
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Mycalesis francisca_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Mycalesis gotama_A39_P1","Butterfly Maps",0.113290960961225,0.946003999045313
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Mycalesis gotama_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Papilio macilentus_A39_P1","Butterfly Maps",-0.0581700124413414,1.01314564904623
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Papilio macilentus_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Papilio protenor_A39_P1","Butterfly Maps",0.380139114759753,0.652968525613472
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Papilio protenor_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Parantica sita_A39_P1","Butterfly Maps",0.798832413028268,0.264696288678647
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Parantica sita_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Parnara guttatus_A39_P1","Butterfly Maps",-0.0581700124413414,1.01314564904623
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Parnara guttatus_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Pelopidas jansonis_A39_P1","Butterfly Maps",-0.00539345952249926,1.00962391570995
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Pelopidas jansonis_A39_P1","GBIF occurrence",-0.0615933645574853,1.01539212860378
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Pelopidas mathias_A39_P1","Butterfly Maps",-0.0544773168920085,1.01523920909641
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Pelopidas mathias_A39_P1","GBIF occurrence",0.787767859368489,0.296550821179585
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Taraka hamada_A39_P1","Butterfly Maps",0.463757828358681,0.644360030943081
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Taraka hamada_A39_P1","GBIF occurrence",-0.057898975024292,1.01752102768465
"A39_P1","map_25km_gVelLat",-0.0489564777931166,1.00607415320794,"Apatura iris_A39_P1","Butterfly Maps",-0.0581700124413414,1.01314564904623
